replicate,attempt_id,n_sampled_group_draws,n_unique_sampled_groups,n_sampled_trials,n_genuine,n_impostor,x_vector_eer,x_vector_auc,x_vector_min_dcf,x_vector_cllr,x_vector_cllr_min,x_vector_calibration_loss,ecapa_tdnn_eer,ecapa_tdnn_auc,ecapa_tdnn_min_dcf,ecapa_tdnn_cllr,ecapa_tdnn_cllr_min,ecapa_tdnn_calibration_loss,difference_eer,difference_auc,difference_min_dcf,difference_cllr,difference_cllr_min,difference_calibration_loss
40,40,87,56,32001,18833,13168,0.20025820170109357,0.8882974488983848,0.39886558627248686,0.6141399133333887,0.5957760256309248,0.018363887702463888,0.07805447884033345,0.978363442872794,0.15541996227118463,0.2913387776086818,0.28023038223583646,0.011108395372845359,0.12220372286076012,-0.09006599397440918,0.24344562400130224,0.32280113572470687,0.31554564339508834,0.007255492329618529
41,41,87,56,26363,13313,13050,0.16532712386389242,0.9081490681335014,0.32834793174533694,0.5771909969392051,0.5356278963401063,0.041563100599098735,0.04747239540298956,0.989920519596983,0.09388949757575706,0.19085802628160564,0.17863032783633825,0.012227698445267388,0.11785472846090286,-0.08177145146348164,0.2344584341695799,0.3863329706575994,0.35699756850376807,0.029335402153831347
42,42,87,54,27845,14230,13615,0.19897172236503857,0.8859622760126963,0.39578324617679905,0.6281375950895134,0.5985694897509053,0.029568105338608097,0.0713281799016163,0.9820429959618864,0.14156642783462187,0.26260359197863636,0.25419378596017705,0.00840980601845931,0.12764354246342227,-0.0960807199491901,0.2542168183421772,0.365534003110877,0.34437570379072824,0.021158299320148788
43,43,87,61,26421,13471,12950,0.16965250965250966,0.9131075076476309,0.33182412440967857,0.5605173134257807,0.5319262348275263,0.028591078598254382,0.07444015444015444,0.9812407863710663,0.14716085376021537,0.26122932912751073,0.2539019082717101,0.007327420855800626,0.09521235521235523,-0.06813327872343533,0.1846632706494632,0.29928798429826997,0.2780243265558162,0.021263657742453757
44,44,87,55,26560,13067,13493,0.15141184317794412,0.9327149562756935,0.2993270417998769,0.4925210133102249,0.4737560170230416,0.01876499628718331,0.058927068187036045,0.9868228911565816,0.11607983757025878,0.22079976532245948,0.21544601248690715,0.005353752835552339,0.09248477499090807,-0.054107934880888164,0.18324720422961813,0.2717212479877654,0.25831000453613445,0.013411243451630972
45,45,87,51,26017,13127,12890,0.16493405740884406,0.91827502970769,0.32567356096256755,0.5309042228906639,0.5143887558735545,0.016515467017109375,0.05667707777862421,0.9882900550881366,0.10847607218210734,0.2054890081203219,0.1938565544855793,0.011632453634742579,0.10825697963021985,-0.07001502538044657,0.21719748878046022,0.32541521477034197,0.32053220138797517,0.0048830133823667965
46,46,87,53,22882,9990,12892,0.15575575575575576,0.9186508180535484,0.30375336552810955,0.5461326076115349,0.5030999865229371,0.043032621088597844,0.03870617437170338,0.993610900692812,0.073432150735905,0.1561653642416374,0.13943127487885332,0.016734089362784088,0.11704958138405239,-0.07496008263926357,0.23032121479220455,0.3899672433698975,0.36366871164408376,0.026298531725813756
47,47,87,55,25465,12186,13279,0.17380826869493185,0.9097727535620999,0.34415673460686613,0.5551124898731119,0.5374897145414379,0.017622775331674,0.05530937140981454,0.9883383663366674,0.11056435452064406,0.20386726392689045,0.197580743575973,0.006286520350917452,0.11849889728511731,-0.07856561277456753,0.23359238008622207,0.35124522594622143,0.3399089709654649,0.01133625498075655
48,48,87,55,27933,14422,13511,0.16578837886562198,0.9180016250183816,0.32864145139815865,0.5452965283182807,0.521402900223322,0.023893628094958652,0.0705172652891416,0.9823016030503238,0.14034806854604703,0.2654289431799266,0.2566245024840885,0.008804440695838078,0.09527111357648038,-0.0642999780319422,0.1882933828521116,0.2798675851383541,0.2647783977392335,0.015089187399120574
49,49,87,61,25877,12279,13598,0.18584575291147487,0.8931226574437316,0.3573723211644412,0.6349889831246601,0.5733856227363963,0.06160336038826386,0.05125753787321665,0.9894858348132112,0.101245241640703,0.19117712804873593,0.18477411488718967,0.0064030131615462615,0.1345882150382582,-0.09636317736947952,0.25612707952373814,0.4438118550759242,0.3886115078492066,0.0552003472267176
50,50,87,57,23555,10978,12577,0.18245582073237385,0.8922388098422843,0.3573650658817255,0.6269640080427231,0.5667264501372484,0.06023755790547469,0.04341257851633935,0.9917520353724718,0.08515106789145524,0.1770070254932543,0.16064311803588266,0.01636390745737165,0.1390432422160345,-0.09951322553018749,0.27221399799027024,0.4499569825494688,0.40608333210136577,0.04387365044810304
51,51,87,58,25899,12856,13043,0.1946172993154947,0.8875899351582324,0.38350470019204586,0.6482324231094982,0.5971587115329673,0.051073711576530956,0.0667024457563444,0.9831753554050146,0.1326555034252936,0.24888574137858693,0.24353581564266097,0.005349925735925964,0.1279148535591503,-0.09558542024678218,0.2508491967667522,0.3993466817309113,0.3536228958903063,0.04572378584060499
52,52,87,47,24621,11869,12752,0.1605021484539557,0.9148362903932548,0.31825773978859345,0.5500216464414984,0.5197721536953603,0.030249492746138085,0.034818067754077794,0.9946725443155959,0.06914082482195587,0.14854789155750123,0.12921684550139678,0.019331046056104445,0.1256840806998779,-0.07983625392234117,0.24911691496663757,0.40147375488399717,0.39055530819396356,0.01091844669003364
53,53,87,52,26112,12937,13175,0.20296015180265656,0.8860868177545276,0.3988971866140377,0.6272735147338484,0.5978436820513384,0.029429832682509982,0.0626111154054263,0.9852928078401841,0.12472074345400913,0.23559974240091858,0.229853762548454,0.005745979852464583,0.14034903639723026,-0.09920599008565656,0.2741764431600286,0.3916737723329298,0.3679899195028844,0.0236838528300454
54,54,87,52,28473,14972,13501,0.156759283996794,0.9165812303748173,0.30948522865970307,0.5555311341801439,0.515930462257715,0.03960067192242889,0.04929201175527652,0.9901879850065233,0.0968042699284127,0.1836350374595499,0.17771109604718838,0.005923941412361522,0.10746727224151749,-0.07360675463170596,0.21268095873129036,0.371896096720594,0.3382193662105266,0.033676730510067365
55,55,87,55,26427,12846,13581,0.14836904498932332,0.9316350356811621,0.29334041248727816,0.49209543116769894,0.4690524489611939,0.023042982206505025,0.04367118169079869,0.9922979408078777,0.0860203699009259,0.167489462603316,0.15786731072705457,0.00962215187626142,0.10469786329852462,-0.06066290512671557,0.20732004258635225,0.32460596856438295,0.31118513823413935,0.013420830330243605
56,56,87,57,26704,12985,13719,0.1746482979809024,0.9066146904858597,0.346453559329322,0.584613227065118,0.5489061442232064,0.0357070828419116,0.05794883008965668,0.9867993995662374,0.11447716352445446,0.21911792681275089,0.21485129524135038,0.004266631571400503,0.11669946789124572,-0.08018470908037767,0.2319763958048675,0.3654953002523671,0.334054848981856,0.031440451270511094
